m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
512,512,512,16,1.36095,0.103688,0.11663,13.1255,1.65901,11.669,1.86608,0
1024,1024,1024,16,10.5852,0.648852,0.871453,16.3138,10.3816,12.1467,13.9433,0
2048,2048,2048,16,86.9739,4.42906,6.77608,19.6371,70.865,12.8354,108.417,0
4096,4096,4096,16,1875.25,40.4643,47.1563,46.3432,647.429,39.7666,754.501,0
512,512,512,16,1.34106,0.0957909,0.0951279,13.9999,1.53265,14.0974,1.52205,1
1024,1024,1024,16,9.98593,0.665201,0.709526,15.0119,10.6432,14.0741,11.3524,1
2048,2048,2048,16,83.3167,4.88168,5.45797,17.0672,78.1069,15.2651,87.3276,1
4096,4096,4096,16,1940.06,40.5407,48.8803,47.8545,648.652,39.6899,782.085,1
512,512,512,16,1.3331,0.118249,0.0962392,11.2737,1.89199,13.852,1.53983,2
1024,1024,1024,16,10.5297,0.687753,0.711374,15.3102,11.004,14.8019,11.382,2
2048,2048,2048,16,83.4295,4.95007,5.46168,16.8542,79.2011,15.2754,87.3869,2
4096,4096,4096,16,1641.32,22.5978,33.3747,72.6318,361.565,49.1784,533.996,2
